time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-72.0,0.003471781638028207,0.00028804917773468723,True,True,True,34917.81638028207,3080.4917773468724,10.000438461084105,9.815113558152598,0.10756200264139933,9.922675560793998,0.03464968746157384,4.961337780396999,2.6337289280888023,74.72453787794134
-70.0,0.003472527012085075,0.00030101607604641334,True,True,True,34925.27012085075,3210.1607604641335,10.452864551430254,10.259155433986217,0.11211359392582468,10.371269027912042,0.03463557247145508,5.185634513956021,2.753555931835433,80.11182273786558
-68.0,0.0034658874713403764,0.00031452036602182043,True,True,True,34858.87471340376,3345.2036602182043,10.900921960764167,10.698909587796317,0.11660780782013551,10.815517395616453,0.034622170029629536,5.407758697808227,2.872254793884708,85.73763346358572
-66.0,0.003451934947268872,0.00032858535270153936,True,True,True,34719.34947268872,3485.8535270153934,11.342552621511121,11.132356091453259,0.12102425492099687,11.253380346374255,0.03460944516004271,5.626690173187128,2.989279745414821,91.59916800288525
-64.0,0.003430819514810676,0.0003432354197505011,True,True,True,34508.19514810676,3632.354197505011,11.77578776254253,11.55756265846058,0.12534359714121762,11.682906255601797,0.034597365268963925,5.841453127800898,3.104108338778392,97.69255608707846
-62.0,0.0034027655106208636,0.0003584960719666246,True,True,True,34227.65510620864,3784.960719666246,12.198780693810852,11.9727168210356,0.1295478678596196,12.10226468889522,0.03458589997419909,6.05113234444761,3.2162501515065407,104.01291457736339
-60.0,0.0033680658328672643,0.00037439397783948505,True,True,True,33880.658328672645,3943.9397783948507,12.609835647924333,12.376154237201417,0.133620749007673,12.50977498620909,0.03457502094881478,6.254887493104545,3.325254453286065,110.554419182156
-58.0,0.003327074685734115,0.00039095701182395863,True,True,True,33470.74685734115,4109.570118239586,13.00743177249746,12.76638223851883,0.13754779655742913,12.90393003507626,0.03456470177802774,6.45196501753813,3.430716594656739,117.3103902300988
-56.0,0.0032801990924176067,0.00040821429592686434,True,True,True,33001.99092417607,4282.142959268644,13.390241630111928,13.142097987212004,0.1413166086260956,13.2834145958381,0.03455491782805429,6.64170729791905,3.5322829456062057,124.27338977036175
-54.0,0.0032278895385470874,0.0004261962401270143,True,True,True,32478.895385470874,4461.962401270143,13.757143848740919,13.502200892159163,0.1449169333486146,13.647117825507777,0.03454564612583823,6.823558912753889,3.629654287867096,131.43532700383506
