time_s,generated_a_bits,generated_b_bits,delivered_bits,delivered_step_bits,pool_a_bits,pool_b_bits
174.0,1651385.8531647774,1625113.6259585065,1625113.6259585065,5341.978678447893,26272.22720627091,0.0
176.0,1651385.8531647774,1630261.0332053625,1630261.0332053625,5147.407246856019,21124.81995941489,0.0
178.0,1651385.8531647774,1633229.717689897,1633229.717689897,2968.6844845344312,18156.13547488046,0.0
180.0,1651385.8531647774,1635355.8937247493,1635355.8937247493,2126.1760348523967,16029.959440028062,0.0
182.0,1651385.8531647774,1636967.4920722658,1636967.4920722658,1611.5983475164976,14418.361092511564,0.0
184.0,1651385.8531647774,1638232.3275802361,1638232.3275802361,1264.8355079703033,13153.525584541261,0.0
186.0,1651385.8531647774,1640357.4174491556,1640357.4174491556,2125.0898689194582,11028.435715621803,0.0
188.0,1651385.8531647774,1642165.0587996978,1642165.0587996978,1807.6413505421951,9220.794365079608,0.0
190.0,1651385.8531647774,1643440.5952111073,1643440.5952111073,1275.5364114094991,7945.257953670109,0.0
192.0,1651385.8531647774,1644442.831221502,1644442.831221502,1002.2360103947576,6943.021943275351,0.0
194.0,1651385.8531647774,1645419.1765337365,1645419.1765337365,976.3453122344799,5966.676631040871,0.0
196.0,1651385.8531647774,1647400.6798444951,1647400.6798444951,1981.5033107586205,3985.1733202822506,0.0
198.0,1651385.8531647774,1649937.019341996,1649937.019341996,2536.3394975007977,1448.833822781453,0.0
200.0,1651385.8531647774,1652133.622252344,1651385.8531647774,1448.833822781453,0.0,747.7690875665285
202.0,1651385.8531647774,1654160.9096232192,1651385.8531647774,0.0,0.0,2775.0564584417734
204.0,1651385.8531647774,1655518.7330218535,1651385.8531647774,0.0,0.0,4132.879857076099
206.0,1651385.8531647774,1656060.8192633388,1651385.8531647774,0.0,0.0,4674.966098561417
208.0,1651385.8531647774,1656343.8850203212,1651385.8531647774,0.0,0.0,4958.0318555438425
210.0,1651385.8531647774,1656533.104356377,1651385.8531647774,0.0,0.0,5147.251191599527
212.0,1651385.8531647774,1657261.7011495668,1651385.8531647774,0.0,0.0,5875.847984789405
214.0,1651385.8531647774,1658258.8533604867,1651385.8531647774,0.0,0.0,6873.00019570929
216.0,1651385.8531647774,1658824.43423961,1651385.8531647774,0.0,0.0,7438.581074832706
218.0,1651385.8531647774,1659425.0757156694,1651385.8531647774,0.0,0.0,8039.222550892038
220.0,1651385.8531647774,1659946.208342845,1651385.8531647774,0.0,0.0,8560.355178067693
222.0,1651385.8531647774,1659974.5056192991,1651385.8531647774,0.0,0.0,8588.65245452174
224.0,1651385.8531647774,1659974.5056192991,1651385.8531647774,0.0,0.0,8588.65245452174
226.0,1651385.8531647774,1659974.5056192991,1651385.8531647774,0.0,0.0,8588.65245452174
228.0,1651385.8531647774,1659974.5056192991,1651385.8531647774,0.0,0.0,8588.65245452174
230.0,1651385.8531647774,1660112.894367623,1651385.8531647774,0.0,0.0,8727.041202845518
232.0,1651385.8531647774,1660430.2465131495,1651385.8531647774,0.0,0.0,9044.393348372076
234.0,1651385.8531647774,1660609.2099103522,1651385.8531647774,0.0,0.0,9223.356745574856
236.0,1651385.8531647774,1660609.2099103522,1651385.8531647774,0.0,0.0,9223.356745574856
238.0,1651385.8531647774,1660812.7439652001,1651385.8531647774,0.0,0.0,9426.890800422756
240.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
242.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
244.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
246.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
248.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
250.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
252.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
254.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
256.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
258.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
260.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
262.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
264.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
266.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
268.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
270.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
272.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
274.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
276.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
278.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
280.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
282.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
284.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
286.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
288.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
290.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
292.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
294.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
296.0,1651385.8531647774,1661016.278020048,1651385.8531647774,0.0,0.0,9630.424855270656
