time_s,eta_a,eta_b,visible_a,visible_b,common_visibility,singles_a_hz,singles_b_hz,true_coincidence_hz,accepted_true_hz,accidental_coincidence_hz,coincidence_hz,qber,sifted_rate_bps,key_rate_bps,cumulative_rate_integral_bits
-162.0,0.00043293533056036875,0.0,True,False,False,4529.353305603688,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-160.0,0.0009984666747831178,0.0,True,False,False,10184.666747831177,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-158.0,0.0008394646473019981,0.0,True,False,False,8594.64647301998,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-156.0,0.0011221147854525756,0.0,True,False,False,11421.147854525756,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-154.0,0.0016199184055159944,0.0,True,False,False,16399.184055159945,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-152.0,0.0017342415406919542,0.0,True,False,False,17542.415406919543,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
-150.0,0.0011131327165959874,2.665219300286552e-05,True,True,True,11331.327165959874,466.52193002865516,0.29667428000520263,0.29117640785107723,0.0052862814358107585,0.296462689286888,0.03793868158235777,0.148231344643444,0.07370633137489982,0.07370633137489982
-148.0,0.001240178654875005,2.549574692271295e-05,True,True,True,12601.78654875005,454.9574692271295,0.3161928112364369,0.31033322795135754,0.005733239487155427,0.31606646743851297,0.03808365603314746,0.15803323371925648,0.07834952172638378,0.22576218447618343
-146.0,0.0008739359342462722,3.54369669895089e-05,True,True,True,8939.359342462722,554.3696698950889,0.30969638852830766,0.30395719485539097,0.004955686163744615,0.30891288101913555,0.03709711991303864,0.15445644050956778,0.07811599699245603,0.3822277031950232
-144.0,0.0010603828990996828,2.7907268489059712e-05,True,True,True,10803.828990996828,479.07268489059715,0.2959239026638236,0.29043993626078046,0.005175790162792828,0.2956157264235733,0.03778687735271893,0.14780786321178666,0.07372196884508321,0.5340656690325625
